Width,Height,Elongation,Roundness,Complexity,Label
0.7913043478260869,0.21189591078066913,0.16889742946564604,0.5624727154246715,0.24267706538496417,car
0.30144927536231886,0,0.10962331197312163,0.744712182010814,0.26036093225718693,fish
0.4492753623188406,0.21189591078066913,0.026502333040405217,0.8029788180533577,0.0830688310510565,house
0.2956521739130435,0.5836431226765799,0.09157562192270176,0.6364733992856287,0.005350503310057132,tree
0.5594202898550724,0.1895910780669145,0.10015133057257872,0.7366428334407245,0.4041897161512651,bicycle
0.46956521739130436,0.4200743494423792,0.17154354304009808,0.6154694695000913,0.5204498050240319,guitar
0.4782608695652174,0.5315985130111525,0.8798739571708881,0.004175506110465695,0,pencil
0.5072463768115942,0.4721189591078067,0.0037305088219053628,0.7960061331468137,0.267434479006076,clock
0.7623188405797101,0.29739776951672864,0.12457332637978301,0.6598112803575911,0.2571869048698649,car
0.591304347826087,0.01486988847583643,0.24108176996385772,0.5286231250496206,0.2124784619570146,fish
0.4,0.3940520446096654,0.010257016246061738,0.8559028355761488,0.47483449714337533,house
0.6057971014492753,0.8401486988847584,0.04513714038483035,0.8465764002697295,0.4226897614945135,tree
0.7739130434782608,0.4684014869888476,0.06341257491513881,0.8117095965135768,0.3802484810011789,bicycle
0.3159420289855073,0.9516728624535316,0.19016934331148846,0.6088185916354524,0.6450530516006167,guitar
0,0.7211895910780669,0.7630929541799035,0.08214896628385733,0.3446086877663916,pencil
0.45217391304347826,0.4163568773234201,0,1,0.6437834406456878,clock
0.9072463768115943,0.4349442379182156,0.10641373554224952,0.7829341150653172,0.5842024122608144,car
1,0.36059479553903345,0.16154891344316052,0.5819619927917382,0.3261993289199238,fish
0.7623188405797101,0.9256505576208178,0.01095226316674438,0.843370036160916,0.5176385236238324,house
0.5855072463768116,0.9628252788104089,0.055915921869293686,0.7895035665473582,0.21538042985399475,tree
0.6463768115942029,0.5315985130111525,0.03480873422602978,0.790589962743471,0.21909857622200055,bicycle
0.5507246376811594,1,0.14490617401437345,0.68661119830234,0.5219914754693026,guitar
0.4927536231884058,0.9107806691449815,0.5207826415403296,0.22896106711137088,0.2861158973428856,pencil
0.5478260869565217,0.5687732342007435,0.01929740012343169,0.9751440754066633,0.3493243855989843,clock
0.6463768115942029,0.11524163568773234,0.17964723221871132,0.6286515172455862,0.6812369638160878,car
0.5826086956521739,0.09293680297397769,0.14599442325064396,0.5763911356884307,0.23324566971977873,fish
0.5130434782608696,0.4275092936802974,0.10269208711587083,0.8191009068875773,0.5591729391493606,house
0.4318840579710145,0.8884758364312267,0.10323707030304546,0.6491873667852791,1,tree
0.672463768115942,0.5613382899628253,0.024625319745436122,0.7603892818966776,0.2784982316133128,bicycle
0.5333333333333333,0.5018587360594795,0.29538588104828256,0.3771441627608608,0.4902512015960823,guitar
0.5710144927536231,0.6022304832713755,0.7949978865502833,0.0579770829142962,0.012968169039629999,pencil
0.13623188405797101,0.5130111524163569,0.20566994053867976,0.589531875469783,0.3282851183458783,clock
0.6869565217391305,0.11152416356877323,0.22875865885132415,0.5504976495462709,0.2433118708624286,car
0.6,0.39776951672862454,0.04634404010763056,0.8356064782997646,0.3092409540219461,fish
0.45507246376811594,0.7843866171003717,0.0665630366880351,0.7546676570537068,0.5168223451528068,house
0.9159420289855073,0.9368029739776952,0.019653316397475317,0.777889150578055,0.6642785889181101,tree
0.8173913043478261,0.6133828996282528,0.04245935054590441,0.8377593494539024,0.5637072639883921,bicycle
0.6347826086956522,0.3159851301115242,0.30169557270415026,0.2417991180604285,0.4098122789516641,guitar
0.008695652173913044,0.8141263940520446,1,0,0.32492971796499504,pencil
0.527536231884058,0.21933085501858737,0.07654063652066583,0.7682737167404561,0.86886732565521,clock
0.8347826086956521,0.26022304832713755,0.15929875960456222,0.6217097151106837,0.7063571234243221,car
0.6695652173913044,0.1970260223048327,0.1358856321838865,0.6873764886685312,0.16949306248299628,fish
0.39710144927536234,0.45353159851301117,0.014417254181161151,0.8148112038290233,0.413258365829328,house
0.3884057971014493,0.8475836431226765,0.11592869111481287,0.6128256475328467,0.2276231069193797,tree
0.5594202898550724,0.3308550185873606,0.05199575445994906,0.8014123237021443,0.28539040536864063,bicycle
0.6550724637681159,0.6840148698884758,0.37599820554921315,0.3380636717292555,0.5628003990205859,guitar
0.057971014492753624,0.9107806691449815,0.8001175432921539,0.02849719116915097,0.24258637888818355,pencil
0.3739130434782609,0.45724907063197023,0.02916578163937267,0.8042126785568171,0.31985127414527975,clock
